Brottstyp;Samtliga;15;16;17;18;19;20;  21-24;  25-29;  30-39;  40-49;  50-59;  60-;  Ålder okänd;Kvinnor;Män; Kön okänt
Mot grupp;672;34;17;5;3;8;9;26;45;122;125;161;116;1;195;477;- 
Olovlig avlyssning m.m. (8-9 a §);186;4;4;2;1;1;1;12;21;52;43;28;17;- ;60;126;- 
Dataintrång (9 c §);736;15;14;13;14;13;13;64;108;194;124;109;49;6;255;478;3
Genom överbelastningsattack;6;2;- ;2;- ;- ;- ;- ;1;1;- ;- ;- ;- ;- ;6;- 
Med hjälp av skadlig kod i utpressningssyfte;6;- ;- ;- ;- ;- ;- ;- ;1;2;2;- ;- ;1;1;4;1
Genom olovlig registerslagning;194;- ;- ;- ;- ;1;2;10;22;37;41;51;29;1;113;80;1
I sociala medier eller e-tjänster;214;4;6;6;6;4;4;27;43;59;29;17;8;1;48;166;- 
Övrigt dataintrång;190;3;8;5;5;4;5;12;21;63;34;25;5;- ;53;137;- 
5 kap. Ärekränkningsbrott;1 194;68;31;28;38;19;21;78;125;264;257;135;125;5;459;731;4
Ärekränkning (1-4 §);1 194;68;31;28;38;19;21;78;125;264;257;135;125;5;459;731;4
Mot barn under 18 år;189;54;21;16;9;5;6;7;6;18;22;14;9;2;58;130;1
Mot flicka under 18 år;122;43;10;12;5;4;6;5;5;8;14;7;2;1;34;88;- 
Internetrelaterat;50;24;3;5;3;2;2;3;3;2;2;1;- ;- ;8;42;- 
Ej internetrelaterat;73;20;7;7;2;2;4;2;2;6;12;6;2;1;26;47;- 
Mot pojke under 18 år;71;11;11;4;4;2;1;2;1;11;8;8;7;1;25;45;1
Internetrelaterat;24;7;8;2;1;1;1;1;- ;2;1;- ;- ;- ;9;15;- 
Ej internetrelaterat;49;4;4;2;3;1;- ;1;1;10;7;8;7;1;16;32;1
Mot kvinna 18 år eller äldre;523;3;4;2;8;8;8;34;56;142;134;72;51;1;137;385;1
Internetrelaterat;176;2;2;1;3;2;5;11;17;50;49;20;13;1;51;124;1
Ej internetrelaterat;354;1;2;1;5;6;3;23;39;93;89;54;38;- ;87;267;- 
Mot man 18 år eller äldre;540;11;9;11;21;6;10;41;66;116;117;60;70;2;290;248;2
Internetrelaterat;234;8;5;7;12;1;6;22;33;58;45;23;13;1;150;83;1
Ej internetrelaterat;307;3;4;4;9;5;4;19;34;58;72;37;57;1;141;165;1
6 kap. Sexualbrott;9 765;423;341;282;373;303;347;1 199;1 282;2 166;1 446;909;605;89;283;9 462;20
Våldtäkt inkl. grov, våldtäkt mot barn inkl. grov, oaktsam våldtäkt (1, 1 a, 4 §);4 771;230;221;193;255;210;202;669;692;1 005;592;316;139;47;100;4 669;2
Våldtäkt inkl. grov, våldtäkt mot barn inkl. grov (1, 4 §);4 660;227;214;187;249;203;197;651;672;983;581;312;137;47;99;4 559;2
Mot barn under 15 år (4 §);1 001;150;100;56;74;42;38;91;69;157;124;49;32;19;37;963;1
Mot flicka under 15 år;875;136;97;50;67;41;37;78;56;127;105;42;25;14;20;855;- 
Fullbordad våldtäkt;818;127;90;44;67;40;36;67;55;118;98;39;25;12;19;799;- 
Utomhus;107;27;9;5;11;10;7;7;2;7;10;5;1;6;2;105;- 
Inomhus;741;102;83;40;58;34;31;62;54;115;94;38;24;6;19;722;- 
Försök till våldtäkt;91;12;8;7;2;3;1;12;8;14;12;6;4;2;1;90;- 
Utomhus;11;- ;3;2;- ;- ;- ;3;- ;- ;- ;1;- ;2;- ;11;- 
Inomhus;81;12;5;5;2;3;1;9;8;14;12;6;4;- ;1;80;- 
Mot pojke under 15 år;140;16;3;6;7;1;1;16;14;34;21;8;8;5;19;120;1
Fullbordad våldtäkt;124;16;3;6;6;1;1;13;12;28;19;7;7;5;19;104;1
Utomhus;12;1;- ;- ;1;1;- ;2;2;3;- ;1;1;- ;1;10;1
Inomhus;115;15;3;6;6;- ;1;11;10;27;19;6;6;5;18;96;1
Försök till våldtäkt;20;- ;- ;- ;1;- ;- ;3;3;7;3;1;2;- ;- ;20;- 
Utomhus;6;- ;- ;- ;1;- ;- ;- ;- ;4;1;- ;- ;- ;- ;6;- 
Inomhus;14;- ;- ;- ;- ;- ;- ;3;3;3;2;1;2;- ;- ;14;- 
Mot barn 15-17 år (1, 4 §);791;74;107;100;102;78;42;106;62;51;38;16;4;11;15;775;1
Mot flicka 15-17 år;759;70;104;98;100;76;40;103;62;44;33;14;4;11;9;749;1
Fullbordad våldtäkt;725;64;99;97;96;73;35;99;60;43;32;13;4;10;9;715;1
Utomhus;115;11;12;12;15;14;4;19;9;10;4;3;- ;2;2;113;- 
Inomhus;623;53;87;85;82;60;32;83;53;35;29;12;4;8;7;615;1
Försök till våldtäkt;46;8;6;1;6;5;5;5;3;3;2;1;- ;1;- ;46;- 
Utomhus;11;- ;1;- ;3;2;1;2;1;- ;1;- ;- ;- ;- ;11;- 
Inomhus;36;8;5;1;4;3;4;3;2;3;1;1;- ;1;- ;36;- 
Mot pojke 15-17 år;34;4;3;3;2;2;2;4;- ;7;5;2;- ;- ;6;28;- 
Fullbordad våldtäkt;32;3;3;3;1;2;2;4;- ;7;5;2;- ;- ;6;26;- 
Utomhus;7;- ;1;1;- ;2;2;- ;- ;1;- ;- ;- ;- ;1;6;- 
Inomhus;25;3;2;2;1;- ;- ;4;- ;6;5;2;- ;- ;5;20;- 
Försök till våldtäkt;3;1;- ;- ;1;- ;- ;- ;- ;- ;- ;1;- ;- ;- ;3;- 
Utomhus;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Inomhus;3;1;- ;- ;1;- ;- ;- ;- ;- ;- ;1;- ;- ;- ;3;- 
Mot kvinna 18 år eller äldre (1 §);2 881;9;15;38;84;88;116;451;533;765;424;248;96;14;18;2 863;- 
Närstående genom parrelation;1 036;3;4;10;13;22;26;109;212;330;174;103;28;2;6;1 030;- 
Fullbordad våldtäkt;969;3;4;10;10;21;26;106;203;303;160;96;25;2;6;963;- 
Försök till våldtäkt;90;- ;- ;- ;3;1;1;4;16;37;18;7;3;- ;- ;90;- 
Närstående genom släktskap/familj;83;- ;2;- ;2;- ;- ;10;8;28;13;12;8;- ;2;81;- 
Fullbordad våldtäkt;77;- ;2;- ;1;- ;- ;8;8;26;13;11;8;- ;2;75;- 
Försök till våldtäkt;8;- ;- ;- ;1;- ;- ;2;- ;3;1;1;- ;- ;- ;8;- 
Annan sorts relation eller bekantskap;1 248;5;5;21;54;43;54;240;204;294;176;102;46;4;6;1 242;- 
Fullbordad våldtäkt;1 155;5;5;18;53;42;52;223;189;265;163;93;43;4;6;1 149;- 
Utomhus;60;- ;- ;1;4;1;1;10;13;12;10;5;3;- ;- ;60;- 
Inomhus;1 111;5;5;17;51;41;52;214;179;255;157;90;41;4;6;1 105;- 
Försök till våldtäkt;106;- ;- ;3;1;1;3;20;17;34;14;10;3;- ;- ;106;- 
Utomhus;18;- ;- ;1;- ;1;2;4;4;3;1;2;- ;- ;- ;18;- 
Inomhus;88;- ;- ;2;1;- ;1;16;13;31;13;8;3;- ;- ;88;- 
Obekanta;587;1;3;6;17;24;39;103;122;141;71;37;16;7;4;583;- 
Fullbordad våldtäkt;533;1;2;5;16;21;37;96;108;129;64;33;14;7;4;529;- 
Utomhus;71;- ;- ;1;5;6;6;12;8;17;11;4;1;- ;- ;71;- 
Inomhus;466;1;2;4;12;15;31;84;100;114;53;30;13;7;4;462;- 
Försök till våldtäkt;63;- ;1;1;1;4;2;11;15;12;9;5;2;- ;- ;63;- 
Utomhus;20;- ;1;- ;- ;2;- ;1;6;4;5;1;- ;- ;- ;20;- 
Inomhus;44;- ;- ;1;1;2;2;10;10;8;4;4;2;- ;- ;44;- 
Mot man 18 år eller äldre (1 §);147;1;3;1;3;3;8;15;30;43;18;12;7;3;31;116;- 
Närstående genom parrelation;30;1;1;- ;- ;2;- ;4;7;6;7;2;- ;- ;19;11;- 
Fullbordad våldtäkt;27;- ;1;- ;- ;1;- ;4;7;5;7;2;- ;- ;18;9;- 
Försök till våldtäkt;5;1;- ;- ;- ;1;- ;1;1;1;- ;- ;- ;- ;3;2;- 
Närstående genom släktskap/familj;5;- ;- ;- ;- ;1;- ;- ;- ;1;1;1;1;- ;- ;5;- 
Fullbordad våldtäkt;5;- ;- ;- ;- ;1;- ;- ;- ;1;1;1;1;- ;- ;5;- 
Försök till våldtäkt;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Annan sorts relation eller bekantskap;82;- ;2;1;3;- ;6;8;15;25;9;6;4;3;8;74;- 
Fullbordad våldtäkt;71;- ;1;- ;2;- ;6;7;12;22;9;6;3;3;8;63;- 
Utomhus;5;- ;- ;- ;- ;- ;- ;1;2;1;1;- ;- ;- ;2;3;- 
Inomhus;67;- ;1;- ;2;- ;6;6;10;22;8;6;3;3;7;60;- 
Försök till våldtäkt;12;- ;1;1;1;- ;- ;1;4;3;- ;- ;1;- ;- ;12;- 
Utomhus;3;- ;1;1;- ;- ;- ;- ;1;- ;- ;- ;- ;- ;- ;3;- 
Inomhus;9;- ;- ;- ;1;- ;- ;1;3;3;- ;- ;1;- ;- ;9;- 
Obekanta;33;- ;- ;- ;- ;- ;2;3;8;11;3;4;2;- ;4;29;- 
Fullbordad våldtäkt;30;- ;- ;- ;- ;- ;2;3;7;9;3;4;2;- ;4;26;- 
Utomhus;3;- ;- ;- ;- ;- ;- ;- ;2;- ;- ;1;- ;- ;- ;3;- 
Inomhus;27;- ;- ;- ;- ;- ;2;3;5;9;3;3;2;- ;4;23;- 
Försök till våldtäkt;3;- ;- ;- ;- ;- ;- ;- ;1;2;- ;- ;- ;- ;- ;3;- 
Utomhus;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Inomhus;3;- ;- ;- ;- ;- ;- ;- ;1;2;- ;- ;- ;- ;- ;3;- 
Oaktsam våldtäkt (1 a §);140;4;10;6;7;8;7;22;23;26;15;8;4;- ;1;139;- 
Mot flicka 15-17 år;35;4;9;5;3;3;2;4;2;2;1;- ;- ;- ;- ;35;- 
Utomhus;2;1;1;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;2;- 
Inomhus;33;3;8;5;3;3;2;4;2;2;1;- ;- ;- ;- ;33;- 
Mot pojke 15-17 år;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Utomhus;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Inomhus;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Mot kvinna 18 år eller äldre;98;- ;1;1;3;4;5;18;20;24;12;6;4;- ;1;97;- 
Närstående genom parrelation;46;- ;- ;1;2;1;2;4;10;10;10;2;4;- ;1;45;- 
Närstående genom släktskap/familj;1;- ;- ;- ;- ;- ;- ;- ;- ;1;- ;- ;- ;- ;- ;1;- 
Annan sorts relation eller bekantskap;21;- ;1;- ;- ;- ;3;3;3;9;1;1;- ;- ;- ;21;- 
Utomhus;13;- ;1;- ;- ;- ;3;2;1;5;1;- ;- ;- ;- ;13;- 
Inomhus;8;- ;- ;- ;- ;- ;- ;1;2;4;- ;1;- ;- ;- ;8;- 
Obekanta;31;- ;- ;- ;1;3;- ;11;7;5;1;3;- ;- ;- ;31;- 
Utomhus;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Inomhus;31;- ;- ;- ;1;3;- ;11;7;5;1;3;- ;- ;- ;31;- 
Mot man 18 år eller äldre;8;- ;- ;1;1;1;- ;- ;1;- ;2;2;- ;- ;- ;8;- 
Närstående genom parrelation;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Närstående genom släktskap/familj;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Annan sorts relation eller bekantskap;8;- ;- ;1;1;1;- ;- ;1;- ;2;2;- ;- ;- ;8;- 
Utomhus;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Inomhus;8;- ;- ;1;1;1;- ;- ;1;- ;2;2;- ;- ;- ;8;- 
Obekanta;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Utomhus;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Inomhus;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Sexuellt övergrepp inkl. grovt (2 §);215;5;6;6;9;11;14;26;32;48;30;16;12;- ;11;204;- 
Mot flicka 15-17 år;42;4;5;4;8;5;2;4;- ;4;4;2;- ;- ;- ;42;- 
Mot pojke 15-17 år;6;1;- ;- ;- ;- ;- ;1;- ;1;- ;1;2;- ;2;4;- 
Mot kvinna 18 år eller äldre;143;- ;1;2;2;6;12;19;28;35;21;10;7;- ;- ;143;- 
Närstående genom parrelation;33;- ;- ;1;1;- ;1;3;7;11;6;3;- ;- ;- ;33;- 
Närstående genom släktskap/familj;5;- ;- ;- ;- ;- ;- ;- ;- ;1;2;1;1;- ;- ;5;- 
Annan sorts relation eller bekantskap;76;- ;- ;1;1;5;7;12;17;17;7;4;5;- ;- ;76;- 
Obekanta;31;- ;1;- ;- ;1;4;4;4;8;6;2;1;- ;- ;31;- 
Mot man 18 år eller äldre;25;- ;- ;- ;- ;- ;- ;2;4;8;5;3;3;- ;9;16;- 
Närstående genom parrelation;6;- ;- ;- ;- ;- ;- ;- ;2;2;2;- ;- ;- ;5;1;- 
Närstående genom släktskap/familj;2;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;2;- ;- ;2;- 
Annan sorts relation eller bekantskap;10;- ;- ;- ;- ;- ;- ;1;- ;4;2;1;2;- ;1;9;- 
Obekanta;8;- ;- ;- ;- ;- ;- ;1;2;2;1;2;- ;- ;3;5;- 
Oaktsamt sexuellt övergrepp (3 §);4;- ;- ;- ;- ;- ;1;1;1;- ;- ;- ;1;- ;- ;4;- 
Mot flicka 15-17 år;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Mot pojke 15-17 år;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Mot kvinna 18 år eller äldre;4;- ;- ;- ;- ;- ;1;1;1;- ;- ;- ;1;- ;- ;4;- 
Närstående genom parrelation;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Närstående genom släktskap/familj;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Annan sorts relation eller bekantskap;4;- ;- ;- ;- ;- ;1;1;1;- ;- ;- ;1;- ;- ;4;- 
Obekanta;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Mot man 18 år eller äldre;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Närstående genom parrelation;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Närstående genom släktskap/familj;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Annan sorts relation eller bekantskap;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Obekanta;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Sexuellt utnyttjande av barn (5 §);77;22;12;6;7;- ;3;4;2;6;6;5;4;- ;5;72;- 
Av flicka under 15 år;67;21;10;6;7;- ;3;3;2;4;4;4;3;- ;4;63;- 
Av pojke under 15 år;7;1;- ;- ;- ;- ;- ;- ;- ;1;3;1;1;- ;1;6;- 
Av flicka 15-17 år;4;- ;2;- ;- ;- ;- ;1;- ;1;- ;- ;- ;- ;- ;4;- 
Av pojke 15-17 år;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Sexuellt övergrepp mot barn (6 §);406;27;6;10;8;6;5;21;38;118;89;50;28;- ;23;383;- 
Mot flicka under 15 år;324;23;6;6;6;5;5;17;29;96;68;40;23;- ;18;306;- 
Mot pojke under 15 år;87;4;- ;4;2;1;- ;5;9;24;22;11;5;- ;7;80;- 
Mot flicka 15-17 år;9;- ;- ;- ;- ;- ;- ;- ;- ;4;4;- ;1;- ;- ;9;- 
Mot pojke 15-17 år;1;- ;- ;- ;- ;- ;- ;- ;- ;- ;1;- ;- ;- ;- ;1;- 
Samlag med avkomling eller syskon (7 §);1;- ;- ;- ;- ;- ;- ;- ;- ;- ;1;- ;- ;- ;- ;1;- 
Med flicka 15-17 år;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Med pojke 15-17 år;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Med kvinna 18 år eller äldre;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Med man 18 år eller äldre;1;- ;- ;- ;- ;- ;- ;- ;- ;- ;1;- ;- ;- ;- ;1;- 
Utnyttjande av barn under 18 år för sexuell posering, inkl. grovt (8 §);469;60;38;19;26;17;26;46;48;74;62;22;15;16;17;439;13
Utnyttjande av barn under 18 år genom köp av sexuell handling (9 §);59;1;- ;1;2;1;1;6;10;12;11;7;3;4;1;58;- 
Sexuellt ofredande (10 §);3 574;148;105;81;100;77;106;343;365;776;597;452;408;16;109;3 463;2
Exhibitionism;104;5;3;4;3;1;3;9;13;22;10;8;23;- ;- ;104;- 
Annat sexuellt ofredande;3 511;145;104;78;97;77;104;340;358;763;590;447;392;16;109;3 400;2
Annat sexuellt ofredande mot barn under 15 år;1 017;85;51;27;29;26;32;74;87;200;171;119;107;9;35;980;2
Mot flicka under 15 år;888;74;48;27;23;24;28;65;72;166;151;106;95;9;27;859;2
Mot pojke under 15 år;159;11;3;1;6;3;4;13;17;41;24;18;18;- ;11;148;- 
Annat sexuellt ofredande mot barn 15-17 år;563;55;47;36;28;15;16;54;46;94;68;59;42;3;8;555;- 
Mot flicka 15-17 år;526;53;44;35;26;15;15;49;41;86;66;53;40;3;4;522;- 
Mot pojke 15-17 år;40;2;3;1;2;- ;1;7;5;9;2;6;2;- ;4;36;- 
Annat sexuellt ofredande mot person 18 år eller äldre;2 082;10;9;18;44;38;63;227;251;496;376;283;263;4;69;2 013;- 
Mot kvinna 18 år eller äldre;1 918;8;9;18;41;35;61;218;226;458;345;261;235;3;29;1 889;- 
Närstående genom parrelation;212;- ;- ;1;2;2;6;13;36;69;53;22;8;- ;1;211;- 
Närstående genom släktskap/familj;48;- ;- ;1;- ;1;- ;1;6;13;13;3;10;- ;3;45;- 
Annan sorts relation eller bekantskap;674;6;5;8;20;15;19;75;70;150;118;104;84;- ;13;661;- 
Obekanta;1 005;2;4;8;18;18;36;133;116;224;166;139;138;3;11;994;- 
Mot man 18 år eller äldre;195;3;- ;- ;3;5;3;11;29;42;33;31;34;1;42;153;- 
Närstående genom parrelation;20;- ;- ;- ;- ;- ;1;2;1;7;4;3;2;- ;15;5;- 
Närstående genom släktskap/familj;5;- ;- ;- ;- ;- ;- ;- ;- ;1;1;2;1;- ;1;4;- 
Annan sorts relation eller bekantskap;55;1;- ;- ;3;4;1;2;13;9;9;8;4;1;14;41;- 
Obekanta;115;2;- ;- ;- ;1;1;7;15;26;19;18;26;- ;12;103;- 
"Kontakt med barn i sexuellt syfte, sk. ""grooming"" (10 a §)";67;7;2;5;4;2;1;6;11;12;8;8;1;- ;- ;67;- 
Med flicka under 15 år;55;6;2;5;3;2;1;6;8;7;7;7;1;- ;- ;55;- 
Med pojke under 15 år;12;1;- ;- ;1;- ;- ;- ;3;5;1;1;- ;- ;- ;12;- 
Köp av sexuell tjänst (11 §);1 183;- ;2;4;7;15;28;202;206;322;214;126;52;5;1;1 179;3
Koppleri, grovt koppleri (12 §);135;- ;- ;- ;- ;1;- ;11;16;53;27;18;8;1;31;104;- 
7 kap. Brott mot familj;407;- ;- ;2;1;2;4;20;61;177;95;30;13;2;218;189;- 
Egenmäktighet med barn (4 §);403;- ;- ;2;1;2;4;20;61;175;94;30;12;2;216;187;- 
Övriga brott mot 7 kap. (1-3 §);4;- ;- ;- ;- ;- ;- ;- ;- ;2;1;- ;1;- ;2;2;- 
8-12 kap. Brott mot förmögenhet;57 481;2 582;2 255;1 745;1 762;1 627;1 676;5 981;7 428;13 295;9 124;6 127;3 691;188;15 475;41 920;86
8 kap. Stöld, rån m.m.;30 935;1 857;1 652;1 191;966;874;917;3 130;3 729;6 863;4 567;3 074;1 986;129;9 043;21 875;17
Tillgrepp av motordrivet fortskaffningsmedel (7 §);2 279;96;119;98;97;66;93;279;338;578;328;144;37;6;260;2 017;2
Bil;1 677;42;67;75;74;53;74;208;267;445;239;101;30;2;217;1 460;- 
Försök till biltillgrepp;191;9;14;5;11;2;3;14;29;56;36;12;- ;- ;16;175;- 
Fullbordat biltillgrepp;1 541;34;54;72;67;51;71;198;249;406;215;92;30;2;205;1 336;- 
Avsedd för yrkesmässig godsbefordran (Lastbil, släpfordon, järnvägsvagn eller lastbärare (container eller motsvarande).;119;1;1;3;- ;- ;6;9;17;45;26;9;2;- ;14;105;- 
Övriga bilar;1 457;34;54;70;67;51;67;192;241;373;195;83;28;2;194;1 263;- 
Motorcykel;193;2;3;3;4;6;6;26;29;60;38;14;2;- ;17;176;- 
Moped;391;49;49;21;18;8;9;38;55;76;41;22;2;3;20;369;2
Båt;62;1;1;3;1;- ;1;2;4;19;17;10;2;1;6;56;- 
Annat;132;6;2;1;2;1;5;25;20;36;25;7;2;- ;10;122;- 
Tillgrepp av icke motordrivet fortskaffningsmedel (1, 2, 4 §);1 137;27;29;19;22;24;34;100;159;347;234;110;31;1;174;963;- 
Cykel;1 032;18;27;13;22;22;30;94;148;316;215;101;25;1;160;872;- 
Elcykel;338;1;10;4;9;7;7;32;46;116;72;32;2;- ;48;290;- 
Annan cykel än elcykel;729;17;15;8;13;14;23;61;110;215;154;73;25;1;114;615;- 
Båt;23;1;- ;1;- ;- ;- ;1;4;5;1;6;4;- ;2;21;- 
Annat;97;8;2;5;- ;2;5;5;8;32;22;5;3;- ;13;84;- 
Inbrottsstöld, inte av skjutvapen (1, 2, 4 §);4 474;101;117;114;121;124;137;515;715;1 296;766;354;101;13;643;3 824;7
I skola, kyrka, idrottsanläggning och lokal för kultur;294;17;10;7;13;7;7;32;40;77;60;19;5;- ;34;260;- 
I skola, bibliotek, fritidshem, m.m.;193;14;7;3;9;5;6;20;28;49;38;11;3;- ;21;172;- 
I idrottsanläggning, kyrka, museum m.m.;108;3;3;4;4;2;1;12;12;31;25;9;2;- ;14;94;- 
I hotell, kafé, restaurang, biograf, teater, nöjes-, samlings- och ungdomslokal m.m.;375;9;14;10;16;14;7;41;56;97;70;35;6;- ;45;330;- 
I butik, apotek, kiosk m.m.;789;29;27;31;26;21;33;131;115;208;108;49;9;2;115;673;1
I butik, varuhus o.d.;711;19;19;24;21;20;28;120;109;197;101;43;8;2;102;608;1
I kiosk, automat och skyltskåp;57;10;7;7;6;1;5;6;2;9;2;1;1;- ;7;50;- 
I apotek och läkemedelsförråd;30;- ;1;- ;- ;- ;1;6;4;5;8;5;- ;- ;6;24;- 
I industri, verkstad, byggplats, lager, garage, hamnområde, kontor m.m.;1 272;16;33;23;25;30;30;136;214;395;242;98;27;3;131;1 140;1
I kontor;257;1;2;4;3;4;6;18;36;78;74;26;3;2;18;238;1
Övrigt;1 084;15;31;20;22;26;26;125;191;332;187;83;25;1;114;970;- 
I bostad, fritidshus m.m.;1 818;27;31;35;34;51;48;189;317;567;326;145;42;6;285;1 531;2
I bostad (lägenhet, villa);1 095;18;26;26;24;34;33;117;209;335;175;70;25;3;138;955;2
Villa, radhus o.d.;695;9;14;17;14;21;17;78;136;212;112;42;20;3;88;605;2
Fullbordat inbrott;534;4;9;11;11;18;13;57;111;166;81;34;18;1;70;463;1
Försök till inbrott;189;6;6;6;3;4;7;22;29;56;33;11;4;2;18;170;1
Lägenhet;443;9;14;10;10;14;16;39;82;140;72;32;5;- ;53;390;- 
Fullbordat inbrott;329;7;12;5;10;11;12;33;62;100;52;21;4;- ;42;287;- 
Försök till inbrott;120;2;2;5;- ;3;4;6;21;43;22;11;1;- ;11;109;- 
I källare och på vind;604;5;3;5;7;9;10;49;101;215;129;57;11;3;130;474;- 
I fritidshus;261;4;3;5;4;10;8;33;32;84;45;25;8;- ;38;223;- 
Övrigt;1 135;9;16;22;20;25;29;100;185;382;229;91;25;2;152;980;3
Stöld (även inbrottsstöld) av skjutvapen ammunition och sprängämnen (1, 2 4 §);39;2;- ;1;- ;- ;- ;4;7;11;2;8;2;2;2;35;2
Från militärt förråd/inom militärförläggning;6;- ;- ;1;- ;- ;- ;1;- ;1;1;2;- ;- ;- ;6;- 
Från skytteorganisation, vapenhandlare och sprängämnesförråd;3;- ;- ;- ;- ;- ;- ;- ;1;- ;- ;1;- ;1;- ;2;1
I bostad (lägenhet, villa) och fritidshus;20;2;- ;- ;- ;- ;- ;1;5;8;1;3;- ;- ;2;18;- 
Övrig stöld av skjutvapen o.d.;10;- ;- ;- ;- ;- ;- ;2;1;2;- ;2;2;1;- ;9;1
Övrig stöld (1, 2, 4 §);23 250;1 462;1 236;818;595;570;580;2 166;2 769;5 325;3 584;2 430;1 636;79;7 956;15 288;6
Från fordon m.m.;1 470;27;40;33;38;41;49;165;235;444;259;109;27;3;157;1 313;- 
Ur och från motordrivet fordon;1 144;20;28;26;32;34;43;139;188;329;197;83;23;2;119;1 025;- 
Av fast interiör/exteriör;526;13;15;10;19;20;27;85;76;145;72;31;11;2;38;488;- 
Av andra föremål (ej fast interiör/exteriör);718;7;15;18;11;15;19;74;127;218;141;58;15;- ;83;635;- 
Från cykel;125;1;3;3;2;3;1;5;24;47;24;10;1;1;21;104;- 
Från båt (annat än båtmotor);62;3;5;2;2;1;1;3;7;21;7;9;1;- ;8;54;- 
Av båtmotor;69;1;1;- ;- ;2;1;6;11;26;14;4;3;- ;4;65;- 
Under yrkesmässig transport;132;2;3;2;2;2;4;18;17;48;27;7;- ;- ;7;125;- 
Avsedd för yrkesmässig godsbefordran (lastbil, släpfordon, järnvägsvagn, fartyg el lastbärare);101;2;1;2;2;1;4;13;10;39;20;7;- ;- ;6;95;- 
Under övrig yrkesmässig transport;33;- ;2;- ;- ;1;- ;5;7;10;8;- ;- ;- ;1;32;- 
Stöld av drivmedel (1, 2, 4 §);573;16;15;11;29;26;20;65;96;148;91;36;20;- ;68;504;1
Stöld av diesel;250;11;12;8;23;17;9;26;43;54;28;12;7;- ;21;228;1
Ur större fordonstank (även entreprenadmaskin m.m.);233;11;12;8;23;17;9;25;38;49;24;10;7;- ;21;211;1
Ur större tankar (ej kopplade till fordon);20;- ;- ;- ;- ;- ;- ;1;7;6;4;2;- ;- ;- ;20;- 
Övrig stöld av drivmedel (även diesel);341;5;3;3;6;10;11;41;58;99;67;25;13;- ;48;293;- 
Genom smitning (från bensinstation);214;- ;1;2;4;6;7;32;44;56;37;16;9;- ;35;179;- 
Ej genom smitning;129;5;2;1;2;4;4;9;14;44;30;9;5;- ;14;115;- 
I skola, kyrka, idrottsanläggning och lokal för kultur;270;33;35;19;22;6;3;22;34;49;24;16;7;- ;45;225;- 
